"target"	"name"	"mz"	"ppm"	"rt.min"	"rt.max"	"seconds"	"threshold"	"known.alternatives"	"C13"	"N15"	"H2"	"event"	"interactive"	"comment"
"M59T6"	"Acetate"	59.01396097	20	0.1	18	20	2e+05	"TBC"	2	0	0	1	"no"	NA
"M71T10"	"Pyruvaldehyde"	71.01411697	20	0.1	18	20	15000	"TBC"	3	0	0	1	"no"	NA
"M87T7"	"Pyruvate"	87.01067828	20	0.1	18	20	2000	"TBC"	3	0	0	1	"no"	NA
"M89T2"	"Fructose Fracture"	89.02489248	20	0.1	5	15	1500	"TBC"	3	0	0	1	"no"	NA
"M89T7"	"Lactate"	89.02788021	20	0.1	10	20	40000	"TBC"	3	0	0	1	"no"	NA
"M91T7"	"Glycerol"	91.03245262	20	0.1	22	20	10000	"TBC"	3	0	0	1	"no"	NA
"M104T6"	"Serine"	104.038048	20	0.1	18	20	700	"TBC"	3	0	0	1	"no"	NA
"M115T10_1"	"Fumurate"	115.0044249	20	0.1	22	30	4000	"TBC"	4	0	0	1	"no"	NA
"M117T10"	"Succinate"	117.020044	20	0.1	18	20	10000	"TBC"	4	0	0	1	"no"	NA
"M129T12_1"	"2-Hydroxyglutaric acid lactone"	129.0200208	20	8	18	15	5000	"TBC"	5	0	0	1	"no"	NA
"M131T10_1"	"Oxaloacetate"	131.0368517	20	0.1	10	25	1500	"TBC"	4	0	0	1	"no"	NA
"M133T10"	"Malate"	133.0150948	20	0.1	18	30	4000	"TBC"	4	0	0	1	"no"	NA
"M145T10"	"alpha-ketoglutarate"	145.0154454	20	7	13	20	5000	"TBC"	5	0	0	1	"no"	NA
"M145T2_2"	"Glutamine"	145.0618547	20	0.1	5	15	1000	"TBC"	5	0	0	1	"no"	NA
"M146T5"	"Glutamate"	146.0467865	20	0.1	18	30	20000	"TBC"	5	0	0	1	"no"	NA
"M149T2"	"Ribose"	149.0471181	20	1	4	10	1000	"TBC"	5	0	0	1	"no"	NA
"M167T12"	"PEP"	166.9764965	20	8	14	20	500	"TBC"	3	0	0	1	"no"	NA
"M169T10"	"G3P/DHAP"	168.9825183	20	0.1	18	20	4000	"TBC"	3	0	0	1	"no"	NA
"M169T8_1"	"G3P/DHAP"	168.9923563	20	0.1	18	30	7000	"TBC"	3	0	0	1	"no"	NA
"M173T12"	"Aconitate"	173.0101698	20	10	14	20	4000	"TBC"	6	0	0	1	"no"	NA
"M179T2_1"	"Glucose"	179.0571463	20	0.1	4	15	2000	"TBC"	6	0	0	1	"no"	NA
"M179T2_2"	"Fructose"	179.0574077	20	0.1	5	15	2000	"TBC"	6	0	0	1	"no"	NA
"M181T2"	"Sorbitol"	181.0727772	20	0.1	5	15	1000	"TBC"	6	0	0	1	"no"	NA
"G-3-P G-2-P"	"G-3-P G-2-P"	184.9857	20	0.1	18	30	4000	"TBC"	3	0	0	1	"no"	NA
"M185T11"	"2PG"	184.9870936	20	0.1	18	30	4000	"TBC"	3	0	0	1	"no"	NA
"M191T13_1"	"Citrate"	191.0212023	20	10	15	10	10000	"TBC"	6	0	0	1	"no"	NA
"M199T7"	"E4P"	199.042946	20	0.1	18	30	2000	"TBC"	4	0	0	1	"no"	NA
"M229T8"	"R5P"	229.0145726	20	6	13	15	1000	"TBC"	5	0	0	1	"no"	NA
"M253T22"	"Palmitoleic Acid"	253.2184484	20	0.1	18	20	4000	"TBC"	16	0	0	1	"no"	NA
"M255T22"	"Palmitic Acid"	255.234552	20	0.1	24	20	4000	"TBC"	16	0	0	1	"no"	NA
"6 Phosphogluconolactone"	"6 Phosphogluconolactone"	257.0068	20	6	10	20	400	"TBC"	6	0	0	1	"no"	NA
"M259T8_2"	"F1P"	259.0249813	20	5	9	15	1000	"TBC"	6	0	0	1	"no"	NA
"M259T8_3"	"G1P"	259.0249966	20	0.1	18	20	4000	"TBC"	6	0	0	1	"no"	NA
"M259T7"	"G6P"	259.0305428	20	0.1	18	30	1500	"TBC"	6	0	0	1	"no"	NA
"M261T9_1"	"Sorbitol-6-phosphate"	261.0428302	20	0.1	18	20	2000	"TBC"	6	0	0	1	"no"	NA
"1,3-bisPG"	"1,3-bisPG"	264.952	20	1	24	15	1000	"TBC"	3	0	0	1	"no"	NA
"6 Phosphogluconate"	"6 Phospho gluconate"	275.0173	20	10	14	30	3000	"TBC"	6	0	0	1	"no"	NA
"M276T11"	"6PG"	276.0230082	20	0.1	18	30	4000	"TBC"	6	0	0	1	"no"	NA
"M281T22"	"Oleic Acid"	281.2498582	20	0.1	24	15	1000	"TBC"	18	0	0	1	"no"	NA
"M283T22"	"Stearic Acid"	283.2656548	20	0.1	18	20	4000	"TBC"	18	0	0	1	"no"	NA
"M289T8_2"	"S7P"	289.0365402	20	6	10	20	500	"TBC"	7	0	0	1	"no"	NA
"M291T22"	"Palmitic acid2"	291.2095228	20	15	24	15	500	"TBC"	16	0	0	1	"no"	NA
"M306T7"	"Glutathione"	306.0894423	20	5	10	20	10000	"TBC"	10	0	0	1	"no"	NA
"M319T22"	"Stearic acid2"	319.2413192	20	15	24	15	300	"TBC"	18	0	0	1	"no"	NA
"M339T14"	"FBP"	338.9909207	20	10	16	30	40000	"TBC"	6	0	0	1	"no"	NA
"M346T9"	"AMP"	346.0590236	20	7	10	30	1500	"TBC"	10	0	0	1	"no"	NA
"M347T8"	"IMP"	347.0432478	20	3	10	20	2000	"TBC"	10	0	0	1	"no"	NA
"M378T10"	"S-Lactoylglutathione"	378.1007067	20	0.1	24	15	5000	"TBC"	13	0	0	1	"no"	NA
"M426T12"	"ADP"	426.0250751	20	10	22	30	4000	"TBC"	10	0	0	1	"no"	NA
"M453T18_2"	"Saicar"	453.0693729	20	0.1	24	15	300	"TBC"	13	0	0	1	"no"	NA
"M506T18_2"	"ATP"	505.9922364	20	15	23	20	1000	"TBC"	10	0	0	1	"no"	NA
"M662T7"	"NAD"	662.1288703	20	0.1	18	20	1000	"TBC"	21	0	0	1	"no"	NA
"M664T11"	"NADH"	664.1220972	20	0.1	18	25	1500	"TBC"	21	0	0	1	"no"	NA
"M808T19"	"AcetylCoa"	808.1203295	20	0.1	24	20	300	"TBC"	23	0	0	1	"no"	NA
